Kode Butir,Domain,Kelompok Standar,Standar,Sub-standar,Pernyataan Butir,Indikator Ketercapaian,Dasar Hukum,Dokumen/Bukti Wajib,Metode Verifikasi,Sumber Data,Tahap Audit,Lapis Audit,Sasaran Auditee,Jenis Jawaban,Bobot,Butir Kritis,Status
AMI8.PDD.P.12,Pendidikan,Proses,Standar Proses Pembelajaran,,"Mahasiswa program diploma satu sampai diploma tiga dan sarjana terapan melaksanakan magang wajib pada dunia usaha, dunia industri, atau dunia kerja yang relevan.",Magang tercantum dalam struktur kurikulum sebagai kegiatan wajib; durasi dan beban belajar ditetapkan melalui keputusan perguruan tinggi; terdapat mitra dengan perjanjian kerja sama yang masih berlaku.,Permen 39/2025 Pasal 17 ayat (4)-(5) dan Pasal 18 ayat (5)-(6),Struktur kurikulum; SK durasi dan beban magang; PKS mitra; laporan magang,Telaah Dokumen; Wawancara,Dokumen Prodi,Keduanya,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.13,Pendidikan,Proses,Standar Proses Pembelajaran,,"Perguruan tinggi menetapkan rentang Masa Studi mahasiswa penuh waktu dan paruh waktu, tidak melebihi dua kali Masa Tempuh Kurikulum bagi mahasiswa penuh waktu.",Terdapat Peraturan/SK Rektor yang menetapkan rentang Masa Studi; tidak terdapat mahasiswa aktif dengan masa studi melebihi dua kali Masa Tempuh Kurikulum pada data PD Dikti.,Permen 39/2025 Pasal 23 ayat (1) dan (2),Peraturan Rektor tentang masa studi; data masa studi PD Dikti,Telaah Dokumen; Verifikasi PD Dikti,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Program Studi,Ya/Tidak,5,Ya,Aktif
AMI8.PDD.P.14,Pendidikan,Proses,Standar Proses Pembelajaran,,Perguruan tinggi melakukan evaluasi terhadap proses pembelajaran paling sedikit terhadap dua dari lima aspek yang ditetapkan.,Evaluasi mencakup minimal dua dari: aktivitas pembelajaran per angkatan; jumlah mahasiswa aktif per angkatan; Masa Tempuh Kurikulum; masa penyelesaian studi; tingkat serapan lulusan. Terdapat laporan evaluasi periodik.,Permen 39/2025 Pasal 25 ayat (1) dan (2),Laporan evaluasi proses pembelajaran; data pendukung per angkatan,Telaah Dokumen; Verifikasi PD Dikti; Wawancara,SIMAK/SIA,Keduanya,Kepatuhan SN Dikti,Program Studi; UPPS/Fakultas,Skala 0-4,5,Ya,Aktif
AMI8.PDD.P.15,Pendidikan,Proses,Standar Proses Pembelajaran,,Hasil evaluasi proses pembelajaran digunakan untuk memperbaiki dan meningkatkan proses pembelajaran secara berkelanjutan.,Terdapat rencana tindak lanjut atas hasil evaluasi beserta bukti pelaksanaannya pada semester berikutnya; tindak lanjut dibahas dalam rapat program studi.,Permen 39/2025 Pasal 25 ayat (3),Notulen rapat tindak lanjut; RTL; bukti implementasi perbaikan,Telaah Dokumen; Wawancara,Dokumen Prodi,Audit Lapangan,Kepatuhan SN Dikti,Program Studi,Skala 0-4,5,Ya,Aktif
AMI8.PDD.P.16,Pendidikan,Proses,Standar Proses Pembelajaran,,Mahasiswa program magister/magister terapan dan doktor/doktor terapan diberikan tugas akhir sesuai bentuk yang ditetapkan.,"Magister: tesis, prototipe, proyek, atau bentuk sejenis. Doktor: disertasi, prototipe, proyek, atau bentuk sejenis. Ditetapkan dalam pedoman tertulis.",Permen 39/2025 Pasal 19 ayat (2) dan Pasal 20 ayat (2),Pedoman tugas akhir pascasarjana,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.17,Pendidikan,Proses,Standar Proses Pembelajaran,,Proporsi mata kuliah yang menerapkan pembelajaran berbasis proyek atau studi kasus melampaui ambang yang ditetapkan perguruan tinggi.,"Persentase mata kuliah dengan metode project-based/case-based learning terhadap total mata kuliah, dibuktikan melalui RPS.",Kriteria melampaui SN Dikti; Standar Mutu UNISAN,Rekap metode pembelajaran per RPS,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Pelampauan (Unggul),Program Studi,Persentase,3,Tidak,Aktif
AMI8.PDD.P.18,Pendidikan,Proses,Standar Penilaian,,"Penilaian hasil belajar mahasiswa dilakukan secara valid, reliabel, transparan, akuntabel, berkeadilan, objektif, dan edukatif.",Terdapat kebijakan penilaian yang memuat ketujuh prinsip; instrumen penilaian tersedia beserta kunci/rubrik; hasil dapat ditelusuri.,Permen 39/2025 Pasal 26 ayat (2),Pedoman penilaian; rubrik penilaian; contoh instrumen dan hasil,Telaah Dokumen; Wawancara,Dokumen Prodi,Keduanya,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.19,Pendidikan,Proses,Standar Penilaian,,"Penilaian formatif dilaksanakan untuk memantau perkembangan belajar, memberikan umpan balik, dan memperbaiki proses pembelajaran.","Terdapat bukti penilaian formatif dan pemberian umpan balik kepada mahasiswa (komentar tugas, hasil kuis, catatan LMS) pada mata kuliah sampel.",Permen 39/2025 Pasal 27 ayat (1) dan (2),Bukti umpan balik; rekam LMS; lembar tugas terkoreksi,Telaah Dokumen; Wawancara,SIMAK/SIA,Audit Lapangan,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.20,Pendidikan,Proses,Standar Penilaian,,Penilaian sumatif digunakan sebagai dasar penentuan kelulusan mata kuliah dan kelulusan program studi dengan mengacu pada pemenuhan CPL.,"Terdapat pemetaan komponen penilaian sumatif terhadap CPMK/CPL; keputusan kelulusan didasarkan pada pemenuhan CPL, bukan semata rerata nilai.",Permen 39/2025 Pasal 27 ayat (3) dan (4),Rubrik sumatif; matriks penilaian CPL; SK yudisium,Telaah Dokumen,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.21,Pendidikan,Proses,Standar Penilaian,,Mekanisme penilaian ditetapkan perguruan tinggi dan disosialisasikan kepada mahasiswa.,"Terdapat Peraturan/SK tentang mekanisme penilaian; bukti sosialisasi kepada mahasiswa (RPS, pedoman akademik, kontrak kuliah, laman).",Permen 39/2025 Pasal 27 ayat (5) dan (6),Peraturan penilaian; kontrak kuliah; bukti sosialisasi,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.22,Pendidikan,Proses,Standar Penilaian,,"Penilaian dinyatakan dalam kisaran huruf A sampai E dengan kesetaraan angka 4 sampai 0, atau keterangan lulus/tidak lulus untuk mata kuliah tertentu.",Skala nilai pada sistem akademik sesuai ketentuan; penggunaan keterangan lulus/tidak lulus hanya pada mata kuliah berbentuk kegiatan di luar kelas dan/atau uji kompetensi.,Permen 39/2025 Pasal 28 ayat (1)-(4),Konfigurasi skala nilai SIMAK; pedoman akademik,Telaah Dokumen; Observasi Lapangan,SIMAK/SIA,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.23,Pendidikan,Proses,Standar Penilaian,,Hasil penilaian sumatif dilaporkan perguruan tinggi ke Pangkalan Data Pendidikan Tinggi secara lengkap dan tepat waktu.,Nilai seluruh mata kuliah pada semester pelaporan terkirim ke PD Dikti sebelum batas waktu pelaporan; tidak terdapat data nilai kosong atau tidak sinkron.,Permen 39/2025 Pasal 28 ayat (7),Bukti sinkronisasi feeder; laporan status pelaporan PD Dikti,Verifikasi PD Dikti; Telaah Dokumen,PD Dikti,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Program Studi,Persentase,5,Ya,Aktif
AMI8.PDD.P.24,Pendidikan,Proses,Standar Penilaian,,Penilaian tugas akhir dilakukan oleh penguji yang ditetapkan perguruan tinggi; untuk program doktor melibatkan penguji dari luar perguruan tinggi yang independen dan bebas konflik kepentingan.,Terdapat SK penguji; untuk program doktor terdapat penguji eksternal yang tidak terlibat dalam pelaksanaan penelitian tugas akhir dan bebas konflik kepentingan dengan mahasiswa maupun tim promotor.,Permen 39/2025 Pasal 29,SK tim penguji; surat pernyataan bebas konflik kepentingan; berita acara ujian,Telaah Dokumen; Wawancara,Dokumen Prodi,Desk Evaluasi,Kepatuhan SN Dikti,Program Studi,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.25,Pendidikan,Proses,Standar Pengelolaan,,Perencanaan kegiatan pendidikan dituangkan dalam rencana strategis jangka panjang serta rencana jangka menengah dan jangka pendek.,"Tersedia renstra yang masih berlaku dan disahkan, rencana jangka menengah, serta rencana operasional tahunan; terdapat keselarasan sasaran antar dokumen.",Permen 39/2025 Pasal 32,Renstra; rencana operasional tahunan; SK pengesahan,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.26,Pendidikan,Proses,Standar Pengelolaan,,Pelaksanaan kegiatan pendidikan dilakukan dengan menjunjung tinggi integritas dan etika akademik serta dalam kerangka kebebasan akademik dan otonomi keilmuan.,Terdapat kode etik akademik yang ditetapkan dan disosialisasikan; terdapat mekanisme penegakan beserta rekam penanganan pelanggaran (atau pernyataan nihil).,Permen 39/2025 Pasal 33 ayat (1),Kode etik akademik; SK komisi etik; rekam penanganan,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.27,Pendidikan,Proses,Standar Pengelolaan,,Terdapat pemantauan dan evaluasi pelaksanaan kegiatan pendidikan serta efektivitas kebijakan akademik.,Monev akademik dilaksanakan minimal satu kali per semester; laporan monev tersedia; terdapat rekomendasi dan tindak lanjutnya.,Permen 39/2025 Pasal 34 ayat (2) huruf a,Laporan monev akademik; instrumen; RTL,Telaah Dokumen; Wawancara,Dokumen UPPS,Keduanya,Kepatuhan SN Dikti,UPPS/Fakultas; Program Studi,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.28,Pendidikan,Proses,Standar Pengelolaan,,Terdapat pemantauan potensi risiko dalam penyelenggaraan kegiatan pendidikan.,"Tersedia daftar/register risiko yang mutakhir memuat identifikasi, analisis, dan rencana mitigasi risiko akademik; ditinjau minimal setahun sekali.",Permen 39/2025 Pasal 34 ayat (2) huruf b,Register risiko; laporan pemantauan risiko; SK unit pengelola risiko,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas; UPPS/Fakultas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.29,Pendidikan,Proses,Standar Pengelolaan,,Terdapat penjaminan kepatuhan pada pengaturan otoritas akademik dan etika akademik.,"Kewenangan akademik (senat, dekan, kaprodi) terdefinisi dalam statuta/OTK; terdapat bukti pelaksanaan kewenangan sesuai ketentuan.",Permen 39/2025 Pasal 34 ayat (2) huruf c,Statuta; OTK; SK kewenangan; notulen senat,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.30,Pendidikan,Proses,Standar Pengelolaan,,"Tersedia mekanisme penerimaan, pendokumentasian, pemrosesan, dan penyelesaian keluhan, laporan, atau pengaduan atas dugaan pelanggaran etika akademik dan peraturan.",Kanal pengaduan tersedia dan diketahui sivitas; terdapat SOP penanganan dengan tenggat; log pengaduan dan penyelesaiannya terdokumentasi; kerahasiaan pelapor terjamin.,Permen 39/2025 Pasal 34 ayat (2) huruf d,SOP pengaduan; log pengaduan; bukti kanal; laporan penyelesaian,Telaah Dokumen; Wawancara; Observasi Lapangan,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Tidak,Aktif
AMI8.PDD.P.31,Pendidikan,Proses,Standar Pengelolaan,,Terdapat pelaporan dan akuntabilitas atas pemanfaatan bantuan pendanaan dan/atau sumber daya dari mitra.,Seluruh bantuan/hibah dan sumber daya mitra terdaftar; laporan pertanggungjawaban tersedia sesuai perjanjian; tidak terdapat kewajiban pelaporan yang terlambat.,Permen 39/2025 Pasal 34 ayat (2) huruf e,Daftar hibah/mitra; LPJ; perjanjian kerja sama,Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas; Unit/Biro,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.32,Pendidikan,Proses,Standar Pengelolaan,,"Penerimaan mahasiswa baru dilakukan berdasarkan potensi dan prestasi, serta bersifat afirmatif, inklusif, dan adil.","Terdapat kebijakan PMB yang memuat keberpihakan pada calon mahasiswa kurang mampu secara ekonomi, akomodasi kebutuhan khusus, dan larangan pembedaan suku, agama, ras, antargolongan; terdapat bukti implementasi kuota/beasiswa afirmatif.",Permen 39/2025 Pasal 36 ayat (1) dan (2),Pedoman PMB; SK kuota afirmatif; data penerima,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,3,Tidak,Aktif
AMI8.PDD.P.33,Pendidikan,Proses,Standar Pengelolaan,,Penerimaan mahasiswa baru diumumkan secara terbuka di laman resmi dan dilakukan melalui mekanisme seleksi yang transparan dan akuntabel.,"Informasi PMB (jalur, syarat, jadwal, biaya, kuota) dapat diakses publik di laman resmi; kriteria dan hasil seleksi terdokumentasi dan dapat ditelusuri.",Permen 39/2025 Pasal 36 ayat (3),Tangkapan layar laman PMB; dokumen kriteria seleksi; berita acara kelulusan seleksi,Observasi Lapangan; Telaah Dokumen,Dokumen Universitas,Desk Evaluasi,Kepatuhan SN Dikti,Universitas,Ya/Tidak,3,Tidak,Aktif
AMI8.PDD.P.34,Pendidikan,Proses,Standar Pengelolaan,,"Penyiapan mahasiswa baru mencakup empat materi wajib dan seluruh kegiatannya bebas dari kekerasan seksual, perundungan, dan intoleransi.","Materi mencakup penjelasan umum PT; cara belajar yang menjunjung integritas akademik; cara mewujudkan kampus bebas kekerasan seksual, perundungan, dan intoleransi; cara beradaptasi pada kehidupan kampus yang aman, sehat, dan ramah lingkungan. Terdapat mekanisme pengawasan kegiatan.",Permen 39/2025 Pasal 37,Panduan PKKMB; jadwal dan materi; SK panitia; laporan pengawasan,Telaah Dokumen; Wawancara,Dokumen Universitas,Keduanya,Kepatuhan SN Dikti,Universitas,Skala 0-4,5,Ya,Aktif
